age,gender,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm,class
23.0,F,173.0,80.7,34.8,91.0,130.0,35.8,20.7,35.0,192.0,B
24.0,M,165.4,68.0,11.0,75.0,120.0,51.4,16.9,58.0,240.0,A
37.0,M,174.5,79.0,20.8,80.0,129.0,51.9,22.0,55.0,234.0,A
64.0,F,153.2,51.3,33.0,70.0,139.0,19.0,18.2,10.0,108.0,C
38.0,F,162.1,64.1,20.8,80.0,148.0,30.0,17.8,41.0,210.0,B
31.0,M,175.1,81.22,21.7,85.0,149.0,45.5,10.6,44.0,185.0,B
26.0,F,162.0,60.4,29.9,68.0,103.0,26.5,26.5,36.0,175.0,B
30.0,M,173.0,74.12,23.7,79.0,138.0,43.1,5.9,45.0,200.0,C
59.0,M,178.1,76.3,20.7,77.0,129.0,39.7,13.8,40.0,192.0,C
58.0,M,174.9,79.2,20.8,98.0,141.0,53.0,11.5,53.0,212.0,B
32.0,M,174.2,74.3,23.8,84.0,118.0,51.0,16.5,51.0,215.0,A
37.0,M,176.1,78.2,16.7,96.0,151.0,45.5,15.7,57.0,218.0,B
59.0,M,170.0,59.1,15.0,71.0,115.0,28.3,8.6,15.0,162.0,D
54.0,F,155.9,53.2,38.7,85.0,120.0,15.6,13.8,5.0,118.0,D
51.0,F,156.5,52.6,30.6,72.0,128.0,24.6,19.5,28.0,140.0,B
53.0,F,162.6,79.4,41.6,74.0,121.0,26.6,9.6,15.0,135.0,D
58.0,F,162.5,50.0,32.6,64.0,104.0,27.6,24.0,17.0,145.0,C
29.0,M,180.0,83.9,25.5,77.0,129.0,47.6,4.4,41.0,183.0,D
27.0,M,175.5,63.3,12.0,80.0,128.0,45.5,26.2,50.0,230.0,B
25.0,F,155.9,45.7,28.7,63.0,130.0,26.7,3.7,43.0,166.0,D
22.0,F,164.4,56.8,24.6,83.0,109.0,31.0,23.6,43.0,181.0,B
28.0,M,166.5,62.3,25.2,76.0,130.0,34.6,19.4,52.0,189.0,B
23.0,M,170.3,76.92,23.0,98.0,151.0,43.8,9.5,55.0,236.0,C
30.0,M,173.6,77.6,24.6,78.0,137.0,48.6,7.0,61.0,221.0,C
25.0,M,175.2,73.9,11.0,82.0,140.0,54.3,18.4,58.0,252.0,A
60.0,M,164.2,66.0,26.1,80.0,135.0,44.1,15.7,35.0,184.0,A
29.0,M,182.0,77.2,19.0,78.0,134.0,52.9,5.3,56.0,234.0,C
26.0,F,164.5,63.2,28.2,83.0,131.0,35.9,18.6,41.0,166.0,A
61.0,M,168.9,66.5,19.1,68.0,127.0,31.4,11.7,45.0,190.0,B
23.0,F,164.3,56.1,20.0,73.0,108.0,28.8,25.5,37.0,158.0,B
63.0,M,162.4,62.4,25.7,68.0,152.0,18.0,1.6,14.0,135.0,D
50.0,M,179.1,102.2,30.5,83.0,130.0,40.1,-6.5,14.0,162.0,D
58.0,F,153.4,54.76,28.5,72.0,129.0,24.3,20.3,33.0,150.0,A
21.0,M,164.2,60.9,10.3,89.0,145.0,40.1,17.4,58.0,233.0,A
31.0,F,156.7,55.5,23.5,73.0,130.0,28.9,22.5,45.0,156.0,A
37.0,M,173.1,77.3,20.1,75.0,135.0,44.5,17.1,48.0,174.0,C
24.0,M,177.5,83.2,19.8,89.0,144.0,47.6,21.6,48.0,254.0,D
22.0,M,178.4,81.9,16.7,60.0,108.0,46.8,1.3,61.0,215.0,D
21.0,M,165.0,65.9,15.9,80.0,120.0,33.4,25.0,33.0,210.0,D
38.0,M,170.2,61.7,15.7,80.0,143.0,34.9,10.6,49.0,188.0,B
62.0,F,156.3,67.28,41.6,99.0,159.0,25.0,-1.5,0.0,129.0,D
41.0,M,171.7,73.0,23.5,79.0,121.0,40.4,17.8,32.0,202.0,C
23.0,M,176.0,69.5,10.2,86.0,143.0,54.0,11.2,70.0,227.0,B
40.0,F,171.0,53.3,20.5,65.0,120.0,33.3,21.8,45.0,155.0,B
51.0,F,161.7,48.2,22.4,66.0,101.0,21.3,25.3,30.0,154.0,A
38.0,F,160.8,53.5,22.1,79.0,128.0,25.9,27.6,30.0,164.0,B
23.0,M,173.2,66.7,12.7,90.0,152.0,42.1,19.2,57.0,218.0,C
23.0,F,162.2,63.1,33.4,68.0,115.0,27.1,19.7,47.0,180.0,C
48.0,M,165.6,55.2,13.3,76.0,111.0,33.9,12.7,40.0,190.0,B
24.0,M,173.9,64.1,19.5,87.0,154.0,37.9,20.9,58.0,225.0,B
56.0,M,167.7,65.66,18.4,74.0,110.0,41.9,15.6,41.0,184.0,B
53.0,M,170.9,66.86,19.8,88.0,140.0,46.8,-4.5,14.0,153.0,D
30.0,F,165.7,47.0,26.9,77.0,117.0,23.6,26.7,44.0,205.0,A
26.0,M,174.1,73.4,15.8,77.0,119.0,57.7,23.9,51.0,238.0,A
35.0,F,168.0,53.1,24.7,78.0,127.0,26.8,20.3,48.0,174.0,A
52.0,M,171.5,73.0,28.9,84.0,140.0,47.4,14.0,26.0,204.0,D
54.0,M,175.2,71.6,23.5,99.0,150.0,43.0,15.0,31.0,183.0,C
62.0,F,160.2,67.1,33.7,76.0,159.0,23.9,19.9,14.0,101.0,B
50.0,M,165.4,67.9,21.7,94.0,150.0,37.2,13.7,36.0,213.0,B
26.0,M,169.4,71.2,18.4,72.0,140.0,42.9,15.1,52.0,237.0,A
23.0,M,180.1,75.3,15.0,79.0,147.0,47.8,22.8,59.0,237.0,A
61.0,F,154.9,46.2,31.3,89.0,137.0,21.1,5.6,5.0,76.0,D
